epoch,train_loss,valid_loss,foreground_acc,dice_multi,jaccard_coeff_multi
1,0.1549634337425232,0.1268809288740158,0.7518036961555481,0.5478721946053938,0.44964820845616815
2,0.1355457603931427,0.13424983620643616,0.7645090818405151,0.5604010580610986,0.46191254538629484
3,0.12749691307544708,0.14381366968154907,0.7765614986419678,0.5900397888731667,0.48305773178315164
4,0.120883509516716,0.09352435171604156,0.7362053990364075,0.6073673947250869,0.5054019149086204
5,0.11562453955411911,0.09446749836206436,0.57454913854599,0.6010526121315849,0.48899862181832404
6,0.11104272305965424,0.0830099806189537,0.7078279256820679,0.6518128659170467,0.5428301792079948
7,0.10953501611948013,0.07723304629325867,0.7266561388969421,0.6456249184519597,0.536970462654575
8,0.10794302821159363,0.07407912611961365,0.729534924030304,0.6346467518342825,0.5290534342699136
9,0.10288327932357788,0.07282841205596924,0.728537917137146,0.6298334932653575,0.5267399634436235
10,0.09884398430585861,0.07256939262151718,0.725206196308136,0.6276532020140815,0.525084657713569
